"Screen / component","What works well (observed scope)","Problem / uncertainty","Affected task and consequence","Recommended change","Testable acceptance criteria","Evidence / issue IDs"
"Quizzes","API lifecycle scores correct answer, persists gems, and prevents duplicate/nonmember attempts.","Teacher can override batch in create payload; full browser timed-attempt flow not tested.","Teacher can affect an unrelated course; timed recovery remains uncertain.","Bind quiz to authorized batch and add visible time/attempt-submit recovery.","Cross-batch creation is blocked; a learner can submit/recover a timed attempt without double scoring.","operations-checks.json; supplemental-checks.json; D-12"
"Progress / achievements / leaderboard","Real task and quiz gem events display; progression target is visible; gem aggregation unit check passes.","Landing thresholds differ; free completion/certification policies disagree.","Learner cannot predict milestones or understand a partially complete certified course.","Use one server-owned progression/completion model for all surfaces.","Same fixture yields identical totals, stage and completion in every view.","dashboard-student-mobile.png; D-15,D-18"
"Certificates / public verification","Synthetic serial verifies publicly; invalid serial fails clearly; share PNG renders.","Teacher can issue course certificate to a nonmember; share/QR scanning not completed.","Verification can authenticate a record with an invalid completion basis.","Validate eligibility before issuance, then show clear verification and revocation states.","Only eligible/authorized records are issued; public state matches persisted serial and revocation status.","certificate-verification.png; synthetic-certificate.png; D-06"
"Events / webinars / hackathons","Event registration/submission/cutoff and simulated payment gates pass locally; legacy team scoring/finalization works for stored entries.","Repeated teammates receive duplicate prizes; rejected event proof cannot be replaced through registration. Live meetings and large-result pagination remain untested.","Rewards can be incorrect, and payment-proof recovery needs academy contact.","Deduplicate team members; show payment review status, a replacement-proof action and the next step.","Each person receives one prize; a rejected proof can be corrected with history preserved; expired/paid/unregistered variants receive clear outcomes.","populated-events.png; supplemental-checks.json; coverage-expansion.json; D-20; WF-52-56"
"Legacy challenges","Link validation and reject→revise→approve persist; repeated identical approval awards gems once.","An administrative API correction after approval can double the reward. UI review actions only appear for pending work.","Learner gem totals can disagree with the final challenge result.","Define supported review transitions and an auditable reward correction process.","One win produces one reward; authorized corrections update the status and reward consistently and explain the change to the learner.","coverage-expansion.json — CHALLENGE-REVIEW,CHALLENGE-REAWARD; D-19; WF-92"
"Announcements / feedback","Announcement page has a clear empty state; feedback is hidden until approval and excludes email publicly.","Delivery fan-out and full submit/reply UI not completed.","Audience receipt and moderation completion remain uncertain.","Separate publication status from message delivery and expose moderation confirmation.","Correct audiences see published content; no email is exposed; failed delivery has recovery.","announcements screenshots; operations-initial.json; WF-57,WF-58"
"Messages / course chat","Course-member data and conversation UI exist; stored message is retrievable.","Read-only coordinator documentation conflicts with writable chat; anonymous/mention lifecycle not completed.","Participants may misunderstand authority or anonymity.","State who can read/post/moderate and explain anonymous mode precisely.","Role and privacy tests cover post/reply/delete/mentions without leaking hidden identity.","messages survey; D-14; WF-45"
"Jobs / job detail","Actual job card→detail navigation works at 1440px and 390px; saved learner comment and external application explanation are visible.","Job details use an in-page view without a stable URL; employer submission and combined filters remain unverified.","A learner cannot reliably bookmark or resume the job through refresh, and the external outcome is outside this audit.","Give each job a stable route and preserve search context; retain the explicit external-application explanation.","Job detail survives refresh/Back; comments persist; open/closed postings expose the correct action; application links resolve in designated staging.","populated-job-1440.png; populated-job-390.png; coverage-browser-final.json; D-04; WF-59"
"Public talent profiles / projects","Project gallery replaces loader with a clear unavailable response in local mode.","PostgreSQL unavailable; successful publication/search not verified.","Visitors cannot reach meaningful talent content in this configuration.","Render a usable feature-unavailable state and keep database setup details private.","Configured staging passes publish→public-view with contact/resume privacy checks; unavailable state has recovery.","talent-projects-desktop/mobile.png; U-05; WF-60,WF-61"
"Student Talent Profile / Hiring Interest","Navigation separates profile and hiring requests.","Both views remain Loading on real local 503.","Students have no route forward or explanation.","Shared error/retry handling plus capability-aware entry.","503 replaces spinner and retry works; consent workflow passes with a scratch database.","view-student-talent-profile.png; D-07; WF-60,WF-65"
"Recruiter signup / review status","Structured company fields; pending and approved screens; API review/resubmit/approve transitions pass.","Signup/company matching and inbox delivery not fully tested; approved actions lead to unavailable database-dependent features locally.","New recruiter can be verified while useful hiring actions are unavailable.","Separate account approval from service availability; keep request-info context visible while editing.","Needs-info data survives correction; approved users reach functioning search or a recoverable unavailable state.","recruiter-signup screenshots; populated-recruiter.png; WF-62-64"
"Recruiter search / contact / shortlists","Routes and form structures were inventoried, including consent and per-recruiter gates.","No PostgreSQL test data; functionality and privacy outcomes not executed.","Hiring and contact safety remain unverified.","Prioritize scratch-database tests for filtering, pagination, consent and resume access.","Correctly scoped recruiter requests, consent, messaging and list persistence pass; unrelated recruiters denied.","talent.js; talent-hiring.js; WF-64-66"
"Showcase feed / composer / moderation","Signed-in empty feed renders; no-image validation works; signed-out user is gated.","Every post requires R2 image storage, unavailable locally; destination lost after login.","Student cannot publish or return directly to intended feed.","Preserve destination and expose image capability/retry before accepting work.","Sandbox post→like/comment/report→moderate completes with correct cohort visibility and retryable image upload.","showcase-empty.png; D-04; WF-67,WF-68"
"Admin overview / health","Actual counts, upcoming admin actions and explicit SMTP-unconfigured detail are present.","Health card wraps poorly, escaped separator text appears, test/disabled delivery can look operational.","Operators may misread service readiness.","Use clear state labels and responsive diagnostic rows.","No clipped status at target widths; unavailable/dry-run is visually distinct from operational.","dashboard-admin.png; U-09"
"Admin user / course / enrollment management","Role-specific lists render; designated accounts and batch creation work locally.","Bulk destructive changes and cascade recovery not tested.","Administrative mistakes may have unverified consequences.","Add affected-record preview, meaningful confirmation and recovery for destructive operations.","Synthetic create→assign→remove cases preserve intended history and reject unauthorized roles.","browser-survey.json; WF-69"
"Coordinator reports / teacher list","Read access to core users/enrollments is available.","Visible subsections call endpoints that return 403 and leave partial loaders.","Coordinator meets dead ends in duties exposed by navigation.","Define one capability map and remove unsupported actions.","All visible coordinator tabs complete or explain their state without 403 dead ends.","browser-survey.json — coordinator; D-14"
"Admissions registrations / challans","Stage folders, counts, explicit handoff instructions and per-record actions are clear.","Duplicate/invalid registrations, false mailed stage and broken bundle fulfillment.","Applicant may be stuck or charged the wrong amount while staff see a misleading status.","Model offerings/bundles, deduplicate requests and make delivery a first-class state.","Normal, duplicate, invalid, bundled and failed-email cases complete correctly or provide a recoverable stage.","populated-student_coordinator.png; D-08,D-09,D-10,D-17"
"Finance / public challan","Payment-cleared stage and public paid document match local persisted state; PDF generates.","Real payment proof, reconciliation and expense workflows untested; default bank data is placeholder.","Payment collection and reconciliation cannot be certified from local tests.","Validate bank configuration before issuing payable documents and distinguish manual verification from automatic settlement.","Sandbox proof→verification→admissions handoff works; invalid/default bank setup prevents a misleading payable invoice.","populated-finance.png; synthetic-challan.pdf; WF-74,WF-76"
"HR onboarding / contracts","Role-specific portal; synthetic instructor/ambassador PDFs parse as 12/13 pages with party details.","Signed-return, deadline/email and document access completion untested; shared upload authorization weak.","Private identity/contract data can be exposed and onboarding recovery remains uncertain.","Secure per-person documents and expose resumable stages and delivery/signature status.","Only authorized people can access documents; every required upload/signature/deadline case has recovery.","populated-hr.png; synthetic contracts; D-01; WF-77"
"Staff / department work","HR instructions/reply and targeted department-task completion persist; duplicate department and nonmember-head checks work.","Task proof-file, return-for-correction and complete browser form sequence remain unverified.","Normal local completion works, but evidence correction and reopening need dedicated validation.","Make status, owner, due date and evidence submission explicit.","A task can be assigned, completed, returned for correction and reopened without losing evidence.","populated-staff.png; final-api-checks.json; coverage-expansion.json; WF-78,WF-79"
"Ambassador portal / reports","Portal renders referral identity; synthetic referral plus stacked discount reaches enrollment and one correct gem award.","Cash commission payout, report email and signing were not completed.","Earned gems have local evidence; downstream cash payout remains unverified.","Show how referral registration differs from paid enrollment and when gems/commission accrue.","A referral keeps its discount snapshot, generates one correct reward/report entry, and exposes the commission payment status.","populated-ambassador.png; coverage-expansion.json; WF-75,WF-80"
"Privacy / public profiles","Plain-language privacy content renders; talent contact-gating design is documented in code.","Formal privacy/legal review, public profile photo access and request fulfillment not tested.","Published promises may exceed tested safeguards.","Align wording with actual role access and feature availability; make contact/help routes clear.","Functional privacy promises are backed by access tests; no compliance claim is made solely from this audit.","privacy-desktop/mobile.png; WF-88; D-01"
"Shared dialogs / keyboard / touch","Form labels, dialog semantics, Escape handling and global visible-focus/reduced-motion styles exist.","Modal focus not captured/trapped; several secondary mobile links have 15–16px boxes.","Keyboard users reach obscured controls and touch targets are hard to select.","Use a reusable accessible dialog and consistent padded secondary actions.","Keyboard completes open/use/close with focus restored; touch interactions avoid adjacent activation.","annotated-signin-focus.png; U-01,U-08"
