"Order","Priority","Issue ID","Type","Work item","Concrete change","Acceptance criteria","Owner","Evidence"
"11","P1","D-18","Confirmed defect","Course progress and certification use different pass rules","Choose and document one pass rule, then calculate progress and certificate eligibility on the server from that shared rule. Align all course copy.","Boundary fixtures (one failed task/high average, exactly pass mark, missing grade, regrade) produce identical progress, completion and certificate eligibility across UI/API.","Learning policy + backend/frontend","evidence/bundle-and-rules.json — PASS-RULE-CONFLICT; store.js:3980-4003; public/js/open.js:1109-1120,1063"
"12","P2","D-03","Confirmed defect","Saving cleared profile fields retains the old data","Distinguish omitted fields from explicit clears; allow empty/null values for optional fields and return the canonical saved profile.","Clearing City, Goal and Links removes each stored value and keeps it empty after refresh and a new session; mandatory fields receive specific validation.","Backend + profile UI","evidence/browser-workflows.json — PROFILE-UI-CLEAR; evidence/annotated-profile-clear.png; server.js:494-500"
"13","P2","D-04","Confirmed defect","Authentication and refresh lose the intended destination","Give significant views stable URLs and preserve a validated same-origin returnTo through login, expiry and logout recovery. Restore the active route on load.","A bookmarked course/task/settings route survives refresh; authentication returns there; Back/Forward retraces navigation; external return URLs are rejected.","Frontend + authentication","evidence/browser-workflows.json — AUTH-RETURN, DASHBOARD-REFRESH; public/js/login.js:18-25; public/js/dashboard.js:118-150"
"14","P2","D-09","Confirmed defect","Repeated course registration creates duplicate records","Define duplicate behavior per learner and offering, use idempotency keys, and show an existing registration receipt when the same request is retried.","Double-click, timeout/retry and resubmission create one active registration per learner/offering, while registration for another course remains allowed.","Admissions backend","evidence/api-checks.json — ADMIT-01-duplicate; store.js:4023; server.js:3660"
"15","P2","D-10","Confirmed defect","Unknown course codes are accepted and stored","Resolve the offering server-side, reject missing/unknown codes, and store the authoritative title and price identifier rather than trusting client text.","Unknown/missing/deactivated offerings return a field-level 400 and create no record; valid courses and modeled bundles use authoritative identifiers.","Admissions backend","evidence/api-checks.json — ADMIT-02-invalid-course; evidence/persisted-record-summary.json; server.js:3660-3684; store.js:4023"
"16","P2","D-13","Confirmed defect","Live course navigation retains the Free-only filter","Make navigation mode and filter state one source of truth. Set or reset applicable filters on both mode changes and show active filters clearly.","Switching between Free and Live consistently shows the advertised offerings; search and tier filters combine predictably and clearing filters restores results.","Catalogue frontend","evidence/final-browser-checks.json — FILTER-LIVE-AFTER-FREE; evidence/live-nav-free-filter.png; public/js/open.js:119-125"
"17","P2","D-14","Confirmed defect","Coordinator UI exposes actions whose APIs reject that role","Define coordinator capabilities explicitly, then share them between API gates and visible navigation. Resolve whether course-chat participation is an intentional exception to read-only access.","Every visible coordinator action has an allowed, scoped endpoint; unavailable actions are omitted/explained; any read-only exception is documented and tested.","Product + role UI/backend","evidence/browser-survey.json — role-errors-coordinator, view-coordinator-admin-teachers, view-coordinator-admin-analytics; evidence/api-checks.json — SEC-04-coordinator-write"
"18","P2","D-15","Confirmed defect","Marketing contradicts current dates, catalogue and gem rules","Drive counts, stage ranges and active cohort dates from the same data as enrollment and progress. Expire campaign urgency copy automatically.","Dates match the active offering; historical campaigns cannot claim seats are filling; counts match catalogue definitions; every stage threshold matches the dashboard.","Content + product/frontend","evidence/browser-survey-public.json — landing-desktop, open-desktop; evidence/catalogue-snapshot.json; public/landing.html:426,503-520,624; store.js:31-38"
"19","P2","D-19","Confirmed defect","Challenge review corrections can award the same win twice","Use a unique reward identity per challenge and learner. Reject unsupported review transitions or explicitly reconcile the previous award when an authorized correction changes the result.","Approve/repeat/reject/reapprove cannot create two rewards for one win. Any reversal is visible and auditable; the displayed status agrees with earned gems.","Backend + rewards","evidence/coverage-expansion.json — CHALLENGE-REAWARD; store.js:1644-1657; server.js:1881-1886"
"20","P2","D-20","Confirmed defect","Duplicate hackathon teammates receive duplicate prizes","Resolve teammate identifiers to a unique set of user IDs before validating team size. Enforce one prize per event/place/person and guard legacy duplicate records at finalization.","Repeated username/reg-number aliases create one membership or a clear validation error. Every eligible teammate receives exactly one advertised prize after repeated finalize requests.","Backend + event UI","evidence/coverage-expansion.json — HACKATHON-UNIQUE-MEMBERS; store.js:1710-1718,1773-1777; public/js/dashboard.js:4511-4520"
"21","P2","U-01","Usability concern","Modal keyboard focus escapes into the page","Move focus into the dialog, keep Tab/Shift+Tab inside, make the background inert and restore focus to its trigger.","Opening, using and closing each dialog is possible with keyboard only; no focus reaches obscured controls.","UX + frontend","evidence/browser-workflows.json — A11Y-MODAL; evidence/annotated-signin-focus.png"
"22","P2","U-02","Usability concern","Mobile discovery requires too much scrolling","Prioritize search and relevant categories, use concise cards, preserve filters and add progressive pagination/load more with a result count.","A learner can find a specific free or paid course without traversing the full catalogue; filter state survives return from course detail.","UX + frontend","evidence/open-mobile.png; evidence/browser-survey-public.json"
"23","P2","U-04","Usability concern","Learning terminology and next steps compete","Use a stable hierarchy: Course → Module → Lesson → Task. State the actual completion policy next to progress and identify any final assessment explicitly.","A learner can identify the next required action and all requirements for completion from the curriculum without reconciling contradictory labels.","UX + frontend","evidence/free-curriculum-desktop.png; evidence/paid-task-desktop.png; D-18"
"24","P2","U-05","Usability concern","Integration failures expose developer setup instructions","Show a user-facing unavailable message and recovery action; put configuration diagnostics in authorized system health/logs.","Student-facing errors contain no environment-variable or infrastructure setup instructions and provide a next step.","UX + frontend","evidence/api-checks.json — AI-01-unconfigured,TALENT-01-db-unavailable; evidence/talent-projects-desktop.png"
"25","P2","U-06","Usability concern","Registration has no durable receipt/status destination","Return a reference and a status page with next steps, contact route, resend status and the selected offering. Keep sensitive payment data protected.","After refresh or a missed email, the applicant can recover their registration status without creating another record.","UX + frontend","public/js/open.js:644-651; evidence/api-checks.json — ADMIT-01-duplicate; D-08"
"26","P2","U-07","Usability concern","Mandatory onboarding can obstruct exploration","Explain the immediate purpose; permit sign-out and returning later, and separate required account contact from optional promotional preferences.","A new user can understand the requirement, correct an error, sign out or resume later without being trapped behind an overlay.","UX + frontend","public/js/open.js:273-293; public/js/dashboard.js:266-340"
"27","P2","E-01","Proposed enhancement","Unify public and portal learning destinations","Keep one recognizable account entry, role-aware navigation, and a clear switch between enrolled and free learning.","A learner can explain their current location and reach both learning areas without signing in again.","Product + engineering","U-04; D-04; public/portal survey"
"28","P2","E-02","Proposed enhancement","Provide resumable applicant and learner onboarding","Add an onboarding checklist with saved progress and contextual links to the next action.","A new/empty account has a relevant next action and returns to its unfinished step.","Product + engineering","U-06,U-07; empty-account survey"
"29","P2","E-03","Proposed enhancement","Make submission attempt history visible","Keep a versioned history of code/files, grading status and feedback, with explicit retry and restore actions.","A learner can compare attempts and recover the last successful submission after a failed regrade.","Product + engineering","D-05,D-16"
"30","P2","E-04","Proposed enhancement","Expose service availability as product state","Hide or explain unsupported AI, talent, image sharing and live-class actions using server capability metadata.","A disabled integration never presents an action that leads only to an endless loader or raw setup instruction.","Product + engineering","D-07,D-16,U-05"
"31","P2","E-06","Proposed enhancement","Establish repeatable staging workflow coverage","Provide seeded accounts and sandbox SMTP, AI, PostgreSQL, R2 and video services; promote this matrix into regression coverage for critical paths.","Every release runs access-control, enrollment, submission/recovery, grading and certificate tests in an isolated environment.","Product + engineering","Coverage limitations and blocked workflows"
"32","P3","U-03","Usability concern","Recommendation summaries end mid-word","Use line clamping with an ellipsis, concise editorial summaries and a clear course detail affordance.","No summary ends with an unexplained cut word at desktop or mobile widths; full detail is reachable.","UX + frontend","evidence/dashboard-student.png; evidence/dashboard-student-mobile.png"
"33","P3","U-08","Usability concern","Small secondary links and dense navigation need touch review","Increase the padded hit area of secondary actions, group mobile navigation and keep labels readable.","Primary actions have a 44px design target; small secondary links have adequate spacing/padding and can be selected without adjacent activation in touch tests.","UX + frontend","evidence/browser-survey-public.json — login-mobile, recruiter-signup-mobile, free-courses-mobile"
"34","P3","U-09","Usability concern","Admin status presentation needs clearer operational meaning","Use clear Healthy / Disabled / Test mode / Failed labels, wrap diagnostic text and format separators once.","Statuses and details stay readable at 1440px and 390px; a disabled/test integration is visually distinct from an available delivery service.","UX + frontend","evidence/dashboard-admin.png; evidence/dashboard-admin-mobile.png"
"35","P3","E-05","Proposed enhancement","Add a focused role-based design system","Standardize headings, action placement, empty/error/loading states, dialogs, tables and mobile navigation across the portals.","Equivalent tasks use the same labels, layout and keyboard behavior across roles.","Product + engineering","UI screen review; U-01,U-04,U-08,U-09"
