"Issue ID","Priority","Type","Title","Page / component","Actual result","Failing step","Reproduction","Recommendation","Acceptance criteria","Evidence","Owner"
"D-16","P1","Confirmed defect","Automatic grading failure has no durable recovery workflow","Free submissions / grades / certificates","The task is stored ungraded and friendly courses promise grading shortly. No retry worker or manual open-task grading route was found. Resubmission clears score/gems before a replacement grade succeeds.","Recover after grading is unavailable","Submit a valid free task with AI disabled (local fault configuration); inspect response, persistence and processing code. Inspect resubmission of a previously scored task.","Persist a grading job with pending/failed/retrying status and a staff retry path. Keep the previous completed attempt/grade until the replacement is successfully graded.","Provider timeout/rejection can be retried without another upload; learners see a truthful status; successful recovery updates progress once; a failed retry does not erase an earned grade.","evidence/api-checks.json — LEARN-05-submit-persist; evidence/browser-workflows.json — SUBMIT-RETRY; server.js:4090-4132; store.js:3955-3964","Backend/AI + learning UI"
"D-17","P1","Confirmed defect","Advertised course bundle creates a zero-fee challan and cannot enroll","Web Developer Path / paid enrollment","A PKR 43,500 advertised bundle generates gross/net PKR 0. Its available_batches is empty and enrollment returns Choose a valid batch for this course. PATH is not resolved as a course or bundle.","Price and fulfill the bundle","Use the advertised PATH registration payload, generate its challan, simulate local Finance clearance, and try Admissions enrollment.","Model bundles as real offerings with component enrollments, authoritative prices and a batch choice for each required course. Until supported, remove the actionable bundle registration offer.","The published PKR 43,500 price reaches the challan; payment clearance lets Admissions place the learner in every component; completion is atomic or explicitly recoverable.","evidence/bundle-and-rules.json — BUNDLE-PRICE, BUNDLE-ENROLL; public/js/open.js:506-515,625-650; store.js:2355-2371; server.js:3930-3950","Product + admissions/backend"
"D-18","P1","Confirmed defect","Course progress and certification use different pass rules","Free progress / certificate eligibility","Backend passed is true with average 93 despite a failed task. The frontend requires each task to meet the pass mark and cannot show all tasks complete. Different places also mention an average, all tasks, and a final exam.","Apply one completion policy","In an isolated business-rule fixture, grade all 15 JavaScript tasks: first 0, remaining 100. Compare backend passed with the UI’s per-task rule.","Choose and document one pass rule, then calculate progress and certificate eligibility on the server from that shared rule. Align all course copy.","Boundary fixtures (one failed task/high average, exactly pass mark, missing grade, regrade) produce identical progress, completion and certificate eligibility across UI/API.","evidence/bundle-and-rules.json — PASS-RULE-CONFLICT; store.js:3980-4003; public/js/open.js:1109-1120,1063","Learning policy + backend/frontend"
"D-19","P2","Confirmed defect","Challenge review corrections can award the same win twice","Legacy challenges / gem ledger","First approval awards 40; rejection leaves those 40; reapproval raises the total to 80. Repeating approval without changing status correctly awards once. The normal UI exposes review buttons only for pending work, so the failing correction sequence is API-level.","Reconcile rewards when a review changes","Create a 40-gem challenge and approve its submission. Using the authorized admin review API, reject that approved submission and approve it again.","Use a unique reward identity per challenge and learner. Reject unsupported review transitions or explicitly reconcile the previous award when an authorized correction changes the result.","Approve/repeat/reject/reapprove cannot create two rewards for one win. Any reversal is visible and auditable; the displayed status agrees with earned gems.","evidence/coverage-expansion.json — CHALLENGE-REAWARD; store.js:1644-1657; server.js:1881-1886","Backend + rewards"
"D-20","P2","Confirmed defect","Duplicate hackathon teammates receive duplicate prizes","Legacy hackathon team registration / rewards","The stored team is [4,12,12]. Finalization awards student 12 twice, totalling 60 instead of 30. Repeat finalization is rejected correctly, but duplicated members are not removed.","Resolve unique teammates and award each person once","Register a synthetic paid team with qa.empty entered twice in member_regs. Approve its simulated payment, submit, score and finalize a 30-gem first prize.","Resolve teammate identifiers to a unique set of user IDs before validating team size. Enforce one prize per event/place/person and guard legacy duplicate records at finalization.","Repeated username/reg-number aliases create one membership or a clear validation error. Every eligible teammate receives exactly one advertised prize after repeated finalize requests.","evidence/coverage-expansion.json — HACKATHON-UNIQUE-MEMBERS; store.js:1710-1718,1773-1777; public/js/dashboard.js:4511-4520","Backend + event UI"
"U-01","P2","Usability concern","Modal keyboard focus escapes into the page","Shared sign-in/profile dialogs","The sign-in modal has role=dialog and aria-modal=true, but focus remains on BODY; the first Tab reaches a background link. Escape support and global focus styling already exist.","","","Move focus into the dialog, keep Tab/Shift+Tab inside, make the background inert and restore focus to its trigger.","Opening, using and closing each dialog is possible with keyboard only; no focus reaches obscured controls.","evidence/browser-workflows.json — A11Y-MODAL; evidence/annotated-signin-focus.png","UX + frontend"
"U-02","P2","Usability concern","Mobile discovery requires too much scrolling","Landing / all-course catalogue","The 390px all-course page screenshot is 12,156px tall; headers, promotion and course cards create a long route to later offerings. The layout fits horizontally.","","","Prioritize search and relevant categories, use concise cards, preserve filters and add progressive pagination/load more with a result count.","A learner can find a specific free or paid course without traversing the full catalogue; filter state survives return from course detail.","evidence/open-mobile.png; evidence/browser-survey-public.json","UX + frontend"
"U-03","P3","Usability concern","Recommendation summaries end mid-word","Student overview / recommendation cards","Several descriptions visibly end with fragments such as production-se or developer ca; the truncation does not explain that more text is available.","","","Use line clamping with an ellipsis, concise editorial summaries and a clear course detail affordance.","No summary ends with an unexplained cut word at desktop or mobile widths; full detail is reachable.","evidence/dashboard-student.png; evidence/dashboard-student-mobile.png","UX + frontend"
"U-04","P2","Usability concern","Learning terminology and next steps compete","Free curriculum / paid Assignments / progress","The same journey alternates among modules, levels, lessons, lectures, tasks, quests, assignments and final exam. The free course lists a final exam without a distinct tested exam step.","","","Use a stable hierarchy: Course → Module → Lesson → Task. State the actual completion policy next to progress and identify any final assessment explicitly.","A learner can identify the next required action and all requirements for completion from the curriculum without reconciling contradictory labels.","evidence/free-curriculum-desktop.png; evidence/paid-task-desktop.png; D-18","UX + frontend"
"U-05","P2","Usability concern","Integration failures expose developer setup instructions","AI help / talent pages","Local unavailable states tell learners to set API keys or configure PostgreSQL. The Talent gallery at least replaces its loader with an error, while dashboard counterparts do not.","","","Show a user-facing unavailable message and recovery action; put configuration diagnostics in authorized system health/logs.","Student-facing errors contain no environment-variable or infrastructure setup instructions and provide a next step.","evidence/api-checks.json — AI-01-unconfigured,TALENT-01-db-unavailable; evidence/talent-projects-desktop.png","UX + frontend"
"U-06","P2","Usability concern","Registration has no durable receipt/status destination","Registration / Admissions handoff","The success dialog says an email is on its way and asks applicants to wait. The public response has only ok, and no applicant tracking or resume link was observed.","","","Return a reference and a status page with next steps, contact route, resend status and the selected offering. Keep sensitive payment data protected.","After refresh or a missed email, the applicant can recover their registration status without creating another record.","public/js/open.js:644-651; evidence/api-checks.json — ADMIT-01-duplicate; D-08","UX + frontend"
"U-07","P2","Usability concern","Mandatory onboarding can obstruct exploration","Free/student first contact and staff onboarding","Learners without a phone are blocked by a non-dismissable WhatsApp form, including when browsing the open site. The copy combines certificates with promotional communication. This is an observed product choice, not asserted to be a technical failure.","","","Explain the immediate purpose; permit sign-out and returning later, and separate required account contact from optional promotional preferences.","A new user can understand the requirement, correct an error, sign out or resume later without being trapped behind an overlay.","public/js/open.js:273-293; public/js/dashboard.js:266-340","UX + frontend"
"U-08","P3","Usability concern","Small secondary links and dense navigation need touch review","Mobile login / signup / shared navigation","Login recovery/signup links measure about 16px high; catalogue footer links about 15px. Primary buttons and responsive single-column forms are usable in the tested viewport.","","","Increase the padded hit area of secondary actions, group mobile navigation and keep labels readable.","Primary actions have a 44px design target; small secondary links have adequate spacing/padding and can be selected without adjacent activation in touch tests.","evidence/browser-survey-public.json — login-mobile, recruiter-signup-mobile, free-courses-mobile","UX + frontend"
"U-09","P3","Usability concern","Admin status presentation needs clearer operational meaning","Admin overview / system health","The overview includes escaped &middot; text and a clipped Operational label in a narrow health card. A dry-run bulk provider is shown as operational even when it is not configured; the detail does disclose dry run.","","","Use clear Healthy / Disabled / Test mode / Failed labels, wrap diagnostic text and format separators once.","Statuses and details stay readable at 1440px and 390px; a disabled/test integration is visually distinct from an available delivery service.","evidence/dashboard-admin.png; evidence/dashboard-admin-mobile.png","UX + frontend"
